,base_market,quote_market,hedge_ratio,half_life
0,UMA-USD,ZEC-USD,0.06943593946293125,16
1,UMA-USD,FIL-USD,0.45508487446071133,6
2,UMA-USD,CELO-USD,3.7534597836946677,3
3,SOL-USD,XTZ-USD,75.9711720909339,19
4,SOL-USD,ALGO-USD,352.23248820183903,3
5,SOL-USD,ENJ-USD,211.61725435377843,17
6,SOL-USD,ZRX-USD,185.45058958681352,14
7,SOL-USD,ETH-USD,0.030964682285080647,18
8,AAVE-USD,ETC-USD,4.579680096844626,3
9,AAVE-USD,XTZ-USD,102.05833205458629,3
10,AAVE-USD,ALGO-USD,473.09874482569194,6
11,AAVE-USD,CRV-USD,146.69894615098755,6
12,AAVE-USD,NEAR-USD,41.13857886557997,4
13,AAVE-USD,BTC-USD,0.002196153221508774,2
14,AAVE-USD,1INCH-USD,255.48991796699556,7
15,AAVE-USD,ENJ-USD,284.29698294156856,5
16,AAVE-USD,LTC-USD,1.2835893801106253,6
17,ETC-USD,XTZ-USD,22.28508104318427,2
18,ETC-USD,LINK-USD,1.3888784396817222,3
19,ETC-USD,BCH-USD,0.08736446591010942,8
20,ETC-USD,YFI-USD,0.0023986623897758012,3
21,ETC-USD,MKR-USD,0.014952579939435223,11
22,ETC-USD,CRV-USD,32.0326013725073,7
23,ETC-USD,ZRX-USD,54.398077566024135,3
24,XTZ-USD,BCH-USD,0.003920203542822167,3
25,XTZ-USD,MKR-USD,0.0006709547320491308,4
26,XTZ-USD,FIL-USD,0.19629869730039692,4
27,XTZ-USD,BTC-USD,2.151743671291963e-05,3
28,XTZ-USD,1INCH-USD,2.5033125409417627,4
29,XTZ-USD,ENJ-USD,2.785542819265608,3
30,XTZ-USD,ZRX-USD,2.440976769282158,2
31,XTZ-USD,ATOM-USD,0.08068296984284684,3
32,LINK-USD,YFI-USD,0.0017270149936539888,2
33,LINK-USD,MKR-USD,0.010765701816749556,7
34,LINK-USD,ALGO-USD,74.37585152705822,7
35,LINK-USD,CRV-USD,23.063371505838536,6
36,LINK-USD,NEAR-USD,6.4673661577454915,6
37,LINK-USD,UNI-USD,2.349859706633454,1
38,LINK-USD,ETH-USD,0.0065394388733480985,2
39,LINK-USD,LTC-USD,0.20179697752848935,6
40,BCH-USD,MKR-USD,0.17115277279251812,4
41,BCH-USD,CRV-USD,366.6594990856523,2
42,BCH-USD,NEAR-USD,102.81071628940913,11
43,BCH-USD,SUSHI-USD,194.8825628161107,4
44,YFI-USD,MKR-USD,6.233695482703746,7
45,YFI-USD,CRV-USD,13354.38402052483,5
46,YFI-USD,NEAR-USD,3744.80731044284,8
47,YFI-USD,ADA-USD,13409.976348822267,15
48,RUNE-USD,MATIC-USD,6.632434352273107,5
49,RUNE-USD,CRV-USD,9.131973790359645,11
50,RUNE-USD,NEAR-USD,2.56136063531323,3
51,RUNE-USD,SUSHI-USD,4.8543501207215,6
52,DOGE-USD,COMP-USD,0.0018724133859175274,3
53,DOGE-USD,FIL-USD,0.020400888823483128,2
54,DOGE-USD,CRV-USD,0.14937711541687765,5
55,DOGE-USD,UNI-USD,0.015219615993949548,4
56,MKR-USD,COMP-USD,26.851124173000905,10
57,MKR-USD,FIL-USD,292.5426250237302,11
58,MKR-USD,CRV-USD,2142.275468329716,2
59,COMP-USD,FIL-USD,10.895238709580743,4
60,COMP-USD,CRV-USD,79.77802890790134,7
61,COMP-USD,DOT-USD,7.038485382295104,15
62,COMP-USD,UNI-USD,8.128345069543068,3
63,ALGO-USD,ZRX-USD,0.526486898494582,9
64,ALGO-USD,UNI-USD,0.03158859045621434,6
65,ALGO-USD,ETH-USD,8.790846093173992e-05,7
66,ALGO-USD,LTC-USD,0.0027124984542744833,15
67,FIL-USD,CRV-USD,7.321593422880588,8
68,FIL-USD,UNI-USD,0.7460042810512861,4
69,FIL-USD,ETH-USD,0.0020760638531775247,4
70,MATIC-USD,NEAR-USD,0.3861531221993657,4
71,MATIC-USD,SUSHI-USD,0.7319180938724982,4
72,CRV-USD,NEAR-USD,0.28038280647958613,10
73,CRV-USD,DOT-USD,0.08820567299208265,18
74,CRV-USD,BTC-USD,1.4968942718644799e-05,9
75,CRV-USD,ADA-USD,1.0038751174880267,17
76,CRV-USD,SUSHI-USD,0.5314950492629607,4
77,CRV-USD,UNI-USD,0.10187919434281151,9
78,CRV-USD,ETH-USD,0.00028352035444782384,9
79,CRV-USD,ATOM-USD,0.05612981024766284,5
80,CRV-USD,LTC-USD,0.00874947199850289,3
81,NEAR-USD,BTC-USD,5.337929013330329e-05,5
82,NEAR-USD,1INCH-USD,6.2094870978814125,13
83,NEAR-USD,LTC-USD,0.03119683389565298,12
84,1INCH-USD,ENJ-USD,1.1127070287507892,5
85,ENJ-USD,ZRX-USD,0.8762325365912829,5
86,SUSHI-USD,ATOM-USD,0.10560592313391146,3
